citationVelocity,paperId,citations_count,pid,Venue Citation Count,Venue Scholarly Output,Venue Percent Cited,Venue CiteScore,Venue SNIP,Venue SJR,avg_pub,avg_hidx,avg_auth_cites,avg_high_inf_cites,max_pub,max_hidx,max_auth_cites,max_high_inf_cites,first_pub,first_hidx,first_auth_cites,first_high_inf_cites,last_pub,last_hidx,last_auth_cites,last_high_inf_cites,citation_count_per_year,inf_citation_count_per_year,Venue Rank Ratio,citationVelocity_cite,citation_count_per_year_cite,inf_citation_count_per_year_cite,fos_Psychology_Medicine_cite,fos_Psychology_cite,fos_Other_cite,cs_m1,cs_m2,cs_m3,cs_m4,cs_m5,cs_m6,cs_m7,cs_m8,cs_m9,cs_m10,cs_m11,cs_m12,cs_m13,cs_m14,cs_m15,cs_m16,cs_m17,cs_m18,cs_m19,cs_m20,cs_m21,cs_m22,cs_m23,cs_m24,cs_m25,cs_m26,cs_m27,cs_m28,cs_m29,cs_m30,cs_m31,cs_m32,cs_m33,cs_m34,fos_Physcology,fos_Business_Economics,fos_Government_Law,fos_Sociology,fos_Education_Educational_Research,fos_International_Relations,fos_Public_Administration,fos_Other,paper_age
0,36120f24ea6c3ff990d06e33380a6e50bf913057,7,xGGO,1096,202,71.3,5.4,2.487,2.664,128.5,18,1300.5,52.5,207,25,2102,75,50,11,499,30,207,25,2102,75,1.75,0,0.045052293,0,0.511904762,0.071428571,0,0,1,0.6599999,0.642647551,0.603155147,0.62,0.513446419,0.592,0.575218781,0.451558428,0.574,0.557133952,0.63625,0.4,0.7125,0.7,0.7160562,0.935094225,0.709468579,0.651442308,0.70625,0.7,0.66957087,0.705466772,0.711360845,0.709522071,0.678096961,0.712440826,0.676417436,0.686363636,0.7125,0.709276205,0.798925551,0.714814815,0.707719298,0.73643617,0,0,0,1,0,0,0,0,3
0,4ca7f561a7c1bcade3bad2ef9c0ad1ad55b862a6,16,yp5k,2975,449,82,6.6,1.933,2.721,89.5,27.25,5233.75,327.25,218,67,17682,1110,50,16,1289,48,218,67,17682,1110,5.333333333,0,0.068627451,1.75,2.621875,0.036458333,0.25,0.3125,0.4375,0.68320435,0.679115977,0.798310768,0.666,0.756495462,0.666,0.586610607,0.814544283,0.59,0.768518394,0.587894737,0.8,0.304,0.35,0.254186033,0.082839791,0.171409574,0.241919081,0.237777778,0.288108108,0.178292388,0.194224407,0.179839491,0.171663561,0.207426157,0.303820753,0.110841547,0.379218804,0.304,0.296436249,0.487677062,0.294230769,0.213254229,0.195853659,1,0,0,0,0,0,0,0,2
5,03c5909d37770f65ccf43fd6d9779c489baa1923,28,Yvpl,2975,449,82,6.6,1.933,2.721,113,29.66666667,6954.333333,408.3333333,263,59,16854,990,16,6,445,14,263,59,16854,990,4.666666667,0.166666667,0.068627451,0,1.330357143,0.072619048,0.857142857,0.035714286,0.107142857,0.38000003,0.439100101,0.38773813,0.56,0.462486559,0.582,0.522379176,0.376467789,0.636,0.453574741,0.611,0.4,0.7,0.7,0.703452657,0.921775209,0.698868484,0.68127572,0.70862069,0.694318182,0.612820699,0.63249718,0.697740528,0.698876486,0.718157618,0.699991584,0.716744725,0.678571429,0.7,0.698153409,0.79828118,0.693333333,0.705323924,0.700536913,1,0,0,0,0,0,0,0,5
11,41f9c1072acfe6d8d01df473274b6a21137829c5,69,eQVm,18010,2031,85.1,8.9,2.76,1.871,131.6666667,35,5861.666667,342.6666667,199,50,9578,621,170,42,7334,347,26,13,673,60,6.272727273,0.454545455,0.050847458,0.188405797,0.944110881,0.045709685,0,0.188405797,0.811594203,0.78000003,0.820327946,0.876365657,0.742,0.773953652,0.756,0.761179429,0.744584783,0.662,0.811031323,0.724285714,0.8,0.642857143,0.65,0.647930943,0.838966939,0.630975652,0.575,0.647930943,0.63030303,0.600857733,0.616652157,0.632266422,0.630915278,0.652829342,0.64292417,0.639662783,0.6625,0.642857143,0.637029091,0.749429309,0.645833333,0.647930943,0.628652393,0,1,0,0,0,0,0,0,10
0,b521a458630a07d40c715b69f655396a5da9ab54,4,74NZ,11540,2023,78.8,5.7,2.097,1.944,70,22,2139.5,98,83,25,2819,131,83,25,2819,131,57,19,1460,65,1.333333333,0,0.04,0,0.333333333,0,0.25,0,0.75,0.76000005,0.785732488,0.846932063,0.874,0.899094167,0.864,0.814375987,0.831652374,0.8,0.88468652,0.787894737,0.8,0.7,0.78,0.719797451,0.921775209,0.67281143,0.555140264,0.734666667,0.79826087,0.550251569,0.610359001,0.676651497,0.672616781,0.663996279,0.700181065,0.635702271,0.789252557,0.7,0.715111824,0.847744945,0.719655172,0.721346308,0.7512,0,0,0,0,0,0,0,1,2
0,a8813c2b27be2f164c9fa0ba7a188f6fdb3ff4c3,38,OJzm,5593,618,84,9.1,2.617,3.303,25.28571429,8.428571429,878.1428571,66.28571429,117,34,5003,382,117,34,5003,382,2,1,38,4,5.428571429,0.571428571,0.039215686,1.236842105,2.793734336,0.189536341,0.631578947,0.078947368,0.289473684,0.5899999,0.594734548,0.693263272,0.72,0.66198004,0.64,0.648685328,0.774282776,0.61,0.741677221,0.608095238,0.8,0.276,0.2,0.256133016,0.054084131,0.232714166,0.300740805,0.267692308,0.278461539,0.308431495,0.362352914,0.231784853,0.232888938,0.259546809,0.275763003,0.219507965,0.202785714,0.276,0.270351454,0.448353695,0.2675,0.265010584,0.273057199,1,0,0,0,0,0,0,0,6
0,a2ac778688c18a23a32c8210e84b65a12aa521a1,15,4GDq,7896,1118,82.6,7.1,2.88,2.223,31,7.5,344.5,32.5,58,13,667,63,58,13,667,63,4,2,22,2,5,0,0.012552301,0.6,1.922222222,0.033333333,0,0,1,0.5299999,0.462344652,0.498284659,0.3,0.470649528,0.306,0.419717988,0.368401929,0.522,0.404787661,0.479032258,0.3,0.57,0.55,0.578450701,0.683445677,0.551887245,0.5,0.578450701,0.589090909,0.5265839,0.569529023,0.550524874,0.551782004,0.580487718,0.570109064,0.558728405,0.515243902,0.57,0.568535422,0.777665786,0.603,0.578450701,0.627525773,0,0,0,0,0,0,0,1,2
16,87118f4263d3c1e5d465c89565a7975dd68b1bed,79,4dPN,3816,356,89.3,10.7,3.692,6.423,34.25,11.75,1427.5,112.25,62,23,2967,242,56,12,1381,113,15,9,1163,90,11.28571429,0.285714286,0.035242291,1.964705882,2.845434174,0.153585434,0.141176471,0.494117647,0.364705882,0.29999995,0.405074537,0.373011506,0.348,0.348481474,0.392,0.305909885,0.268757026,0.504,0.372587968,0.42125,0.3,0.422,0.4,0.4198606,0.297169948,0.410856808,0.417245161,0.4224,0.397,0.474117105,0.52402777,0.41311757,0.410905759,0.382767104,0.42194982,0.375492913,0.367877001,0.422,0.440800932,0.645746113,0.422413793,0.413729917,0.418663595,1,1,0,0,0,0,0,0,6
0,efd483ffef265e3c98d09f21204685473e4a52c6,34,wWZ7,11540,2023,78.8,5.7,2.097,1.944,33,9,455,33,33,9,455,33,33,9,455,33,33,9,455,33,4.25,0.5,0.04,1.228571429,2.378503401,0.12952381,0,0,1,0.42,0.390681551,0.311286349,0.352,0.352856549,0.422,0.429393592,0.29248049,0.51,0.325183336,0.471923077,0.3,0.65,0.8,0.670522558,0.851316276,0.609724734,0.4,0.611111111,0.514285714,0.522699785,0.576902123,0.613394273,0.609846141,0.672166653,0.649895723,0.634535375,0.774637681,0.65,0.619719672,0.799246189,0.640384615,0.543366014,0.558717949,0,0,0,0,0,0,0,1,7
0,029216f283968dc667a86df017efeb04643005c4,19,y75w,7137,1021,78.4,7,3.254,5.439,22,9.5,386.5,20,34,15,725,38,10,4,48,2,34,15,725,38,2.375,0.25,0.074941452,0.263157895,1.247117794,0.083834586,0,0,1,0.78000003,0.751833003,0.831854145,0.812,0.843911754,0.792,0.78032337,0.767616957,0.732,0.851028077,0.738148148,0.8,0.654,0.65,0.654434986,0.857984114,0.654280627,0.64829943,0.6475,0.643877551,0.639159496,0.639197366,0.653655788,0.654260148,0.658849057,0.654020153,0.659038936,0.643052632,0.654,0.648138246,0.699697277,0.652727273,0.646151153,0.655144231,0,1,0,0,0,0,0,0,7
39,9bfd4bfb8351f6048d63a0ba261a10ba77a8c1ba,284,K5KJ,4458,402,88.1,11.1,3.977,4.539,9.5,5.5,626.5,54.5,12,7,806,75,12,7,447,34,7,4,806,75,28.4,2.8,0.003218021,1.233449477,1.721494393,0.089342928,0.18466899,0.404181185,0.411149826,0.35,0.359881182,0.317336103,0.402,0.252106789,0.402,0.354300448,0.35065116,0.308,0.314082013,0.400625,0.4,0.2775,0.3,0.274830207,0.055420009,0.267751479,0.28818568,0.3,0.274830207,0.297395752,0.297526467,0.269803978,0.267771382,0.255494191,0.27748456,0.24399353,0.303311037,0.2775,0.29,0.309596027,0.28,0.3,0.28030303,1,0,0,0,0,0,0,0,9
10,e24fb26124cf45b1d81e7350c6aad1e1b8a48e53,101,RjJp,1911,179,85.5,10.7,4.982,5.992,56.75,16.5,2027.5,101.25,96,26,4745,188,80,26,4745,188,17,6,391,36,8.416666667,1.25,0.004022526,1.373831776,2.096170652,0.160893987,0.056074766,0.112149533,0.831775701,0.84,0.83088202,0.853021607,0.702,0.645146364,0.702,0.676798596,0.772987427,0.67,0.724271785,0.649230769,0.8,0.57,0.565,0.570923702,0.683445677,0.566086336,0.5875,0.5,0.58,0.554827702,0.561205718,0.566524494,0.566071418,0.564922354,0.570015626,0.561000092,0.553529412,0.57,0.585804085,0.649518783,0.5715,0.5,0.585695538,0,0,0,1,0,0,0,0,11
0,5c858efa151d3ac86a0dc90c25271a91d8412312,15,7Pz1,18010,2031,85.1,8.9,2.76,1.871,46.33333333,10.66666667,662.3333333,53.66666667,92,19,1619,146,35,7,185,9,92,19,1619,146,1.875,0.125,0.050847458,0.733333333,2.187777778,0.091111111,0,0,1,0.4,0.405347457,0.387075812,0.454,0.530722175,0.514,0.471590695,0.261403143,0.554,0.480503362,0.605833333,0.3,0.586,0.55,0.587163043,0.721724859,0.582419239,0.55049505,0.587163043,0.598468126,0.579517606,0.581594313,0.583565506,0.58239788,0.569826293,0.586023254,0.567533418,0.561059908,0.586,0.597343555,0.679339434,0.587058824,0.587163043,0.588258197,0,1,0,0,0,0,0,0,7
0,6874675bb23dab3731ec068e46d431d7844e87e9,38,a84D,898,185,75.1,4.9,1.765,1.579,57.25,9.5,512.75,47.5,151,21,1510,151,151,21,1510,151,27,5,110,4,5.428571429,0.285714286,0.18972332,0.421052632,1.313596491,0.083458647,0.131578947,0.526315789,0.342105263,0.8,0.777560843,0.812851376,0.778,0.776552079,0.778,0.698329182,0.794166407,0.688,0.795591146,0.652,0.8,0.638333333,0.625,0.645027621,0.830854898,0.6306354,0.7,0.625714286,0.636428571,0.541177442,0.589340971,0.626121561,0.630617489,0.644522103,0.638354764,0.637436601,0.622857143,0.638333333,0.617076923,0.798600006,0.644444444,0.613303965,0.620816327,1,0,0,0,0,0,0,0,6
0,157b71d252e5311025a786dc3dfd8abdd49ca9cd,3,Lekz,1298,170,80,7.6,4.362,11.572,73.5,28,2685,166.5,106,36,3874,224,41,20,1496,109,106,36,3874,224,0.375,0,0.034482759,1.666666667,2.158730159,0.26984127,0,0,1,0.76,0.870235112,0.913150731,0.764,0.910987913,0.824,0.824202652,0.865081333,0.764,0.876057599,0.77,0.8,0.575,0.55,0.585786438,0.695616109,0.534396494,0.419469027,0.516666667,0.42,0.509495364,0.511198379,0.537754285,0.534418222,0.550374886,0.575003528,0.514416589,0.5125,0.575,0.568566069,0.79835557,0.595238095,0.480363229,0.639495798,0,1,0,0,0,0,0,0,7
6,eb91bc2aab9d6e8d7781a92d7e1ac13d09017c2f,84,AybO,5593,618,84,9.1,2.617,3.303,78,24.5,2197,136.5,105,31,3546,217,51,18,848,56,105,31,3546,217,7.636363636,0.727272727,0.039215686,0.463414634,1.958526907,0.133328494,0.634146341,0.256097561,0.109756098,0.19,0.185389905,0.15899416,0.326,0.249588857,0.34,0.352250727,0.244917487,0.458,0.248959171,0.384615385,0.3,0.4625,0.6,0.393646246,0.399431621,0.273999015,0.6,0.469047619,0.590720859,0.42780834,0.538549058,0.286136417,0.274526738,0.369258964,0.462108085,0.183593786,0.6,0.4625,0.429527589,0.597542174,0.456521739,0.477881213,0.455525362,1,0,0,0,0,0,0,0,10
26,6b734074bbfa22db52a2373a34dd2dcf51f85a86,169,mbW4,5608,938,80.4,6,1.819,2.33,31.5,9.5,538,32.5,50,16,882,58,50,16,882,58,13,3,194,7,18.77777778,0.777777778,0.011312217,0.994505495,1.720922126,0.07825353,0.230769231,0.43956044,0.32967033,0.90000004,0.921029543,0.945103735,0.896,0.892832285,0.896,0.878032882,0.764152376,0.744,0.925972558,0.814444444,0.8,0.6825,0.675,0.683520832,0.900290075,0.681756809,0.65,0.693076923,0.679029126,0.642041391,0.64470986,0.680300183,0.681789542,0.693524497,0.682467878,0.692889029,0.666666667,0.6825,0.68457537,0.729405723,0.6844,0.697183381,0.684212524,1,0,0,0,0,0,0,0,8
14,06cf6b26c021ed0fa6a5b44b20fecb0788295dd7,86,3KBG,823,109,82.6,7.6,3.466,4.297,60.5,25,3286,210,74,30,4801,319,47,20,1771,101,74,30,4801,319,7.818181818,0.818181818,0.005839416,0.430232558,1.421400886,0.086812896,0.093023256,0.511627907,0.395348837,0.31000003,0.318934558,0.238873503,0.544,0.43316579,0.568,0.493773509,0.267305852,0.548,0.430912195,0.588125,0.3,0.647,0.66,0.654006493,0.846198404,0.635445811,0.631406351,0.614285714,0.653565217,0.587793344,0.610299907,0.634374134,0.635365673,0.663009326,0.647062193,0.651492753,0.671859196,0.647,0.65558371,0.797756424,0.6490625,0.613412608,0.633866091,0,0,0,0,0,0,0,1,10
0,9677f6abd929e16134eacee784c212a47c592faf,7,VX9p,1096,202,71.3,5.4,2.487,2.664,45,11,296,18,45,11,296,18,45,11,296,18,45,11,296,18,0.583333333,0.083333333,0.045052293,0,0.55,0.085,0,0,1,0.46,0.450556567,0.351738423,0.508,0.294051834,0.51,0.480587181,0.362044341,0.544,0.351885732,0.556842105,0.4,0.525,0.525,0.525062815,0.567394643,0.52541417,0.532339886,0.53,0.51097561,0.506972643,0.508346226,0.52414538,0.525381689,0.541881925,0.525031885,0.541909003,0,0.525,0.523276289,0.54987622,0.526,0.523608336,0.521338028,0,0,0,1,0,0,0,0,11
8,72119b471cbdf76807c991d646017069ab6de86f,147,q8DZ,2563,212,88.7,12.1,6.335,21.239,157.6666667,31.33333333,4525.333333,394.3333333,324,40,6484,790,124,39,6484,790,25,15,1336,95,11.30769231,1.384615385,0.007849294,1.589041096,2.587235348,0.263915708,0,0,1,0.75,0.715761624,0.789629373,0.8,0.871877375,0.8,0.73798378,0.849819211,0.774,0.815697043,0.752352941,0.8,0.607777778,0.65,0.611538764,0.770382696,0.596502276,0.6,0.611538764,0.610690141,0.562072269,0.579103048,0.595625375,0.596432505,0.62555956,0.607836539,0.61047469,0.643072396,0.607777778,0.613614405,0.747190007,0.607719298,0.611538764,0.567079137,0,1,0,0,0,0,0,0,11
0,2a9034ee32890c337535f9eb0171b00ded5ac2ce,10,OkXy,2854,293,86.3,9.7,3.273,3.606,60,10,2165,165,60,10,2165,165,60,10,2165,165,60,10,2165,165,2,0,0.025252525,1.4,1.966666667,0.133333333,0,0.5,0.5,0.34,0.344439688,0.313409168,0.224,0.269711809,0.242,0.223356167,0.272068903,0.32,0.295574895,0.279,0.3,0.344,0.3,0.327489023,0.138749069,0.277922336,0.322948004,0.35,0.356153846,0.353257046,0.378908951,0.278808523,0.278028568,0.312455604,0.343969553,0.248624287,0.283069245,0.344,0.343739422,0.589786813,0.347241379,0.349880897,0.349790941,1,1,0,0,0,0,0,0,4
0,f2e4ad0facbbc85aae596344c49970f62f815329,6,YBGl,898,185,75.1,4.9,1.765,1.579,84,26,4640,309,84,26,4640,309,84,26,4640,309,84,26,4640,309,1.5,0,0.18972332,0,0.444444444,0.194444444,0.166666667,0.833333333,0,0.75,0.737265722,0.808942394,0.72,0.782916465,0.72,0.666085191,0.831652374,0.602,0.780510625,0.59375,0.8,0.44,0.4,0.431125928,0.341409579,0.40895874,0.321702638,0.460714286,0.435135135,0.468250027,0.510016082,0.412271725,0.408914641,0.42882656,0.440070269,0.394177093,0.382089552,0.44,0.45164983,0.64801944,0.44,0.456278384,0.465535714,1,0,0,0,0,0,0,0,3
9,d9cc62a10825881c75c2c7a4b5491b9a2f81bdf1,28,p8w0,2474,272,89.7,9.1,3.062,3.272,122,22.66666667,3241,221.6666667,284,43,7571,524,20,9,295,22,62,16,1857,119,5.6,0.4,0.006379585,0.214285714,1.056547619,0.05952381,0.035714286,0.571428571,0.392857143,0.42999992,0.417638167,0.291703503,0.36,0.233838623,0.394,0.475257903,0.2685442,0.574,0.241333425,0.566153846,0.4,0.6625,0.675,0.666279406,0.871557955,0.658933102,0.75,0.667391304,0.637887324,0.591929962,0.628691061,0.658475505,0.658921524,0.657694021,0.66251101,0.653386466,0.69375,0.6625,0.660063391,0.74927862,0.663636364,0.663351219,0.703891509,0,0,0,0,0,0,0,1,4
7,b88710dd1055929cd2e6d212ddf3ed8b915b58d0,50,P1rY,823,109,82.6,7.6,3.466,4.297,79.5,19.5,1448.5,88.5,91,21,1608,101,91,21,1289,76,68,18,1608,101,7.142857143,0.571428571,0.005839416,1.150943396,2.549371069,0.133962264,0.075471698,0.509433962,0.41509434,0.36000004,0.336888379,0.261218086,0.55,0.431370682,0.596,0.567041688,0.391375392,0.498,0.372820056,0.497777778,0.4,0.555,0.56,0.556068839,0.645927392,0.543266671,0.619756098,0.556068839,0.513157895,0.541188744,0.556305051,0.545142546,0.543289799,0.531601834,0.554970975,0.51630102,0.572857143,0.555,0.560048985,0.648744429,0.545238095,0.556068839,0.545467775,0,0,0,0,0,0,0,1,6
0,6f8904146135fdb379a6fadcd57e0668187dfb02,23,a2B9,1115,182,83.5,6.1,3.205,3.82,13,5.5,243,7.5,17,6,324,13,17,6,324,13,9,5,162,2,3.285714286,0.142857143,0.013232514,0.173913043,0.75,0.054347826,0,0,1,0.30999997,0.313529992,0.302835342,0.344,0.427804292,0.344,0.45859745,0.312977187,0.55,0.355864844,0.513333333,0.3,0.676,0.65,0.6840785,0.891445144,0.672597851,0.708831658,0.686153846,0.658695652,0.590460643,0.592512425,0.667597504,0.672625442,0.722992257,0.675967877,0.714681743,0.637755938,0.676,0.699831133,0.826668845,0.681923077,0.702986893,0.6709375,0,0,0,0,0,0,0,1,6
0,68844dce4d02c7c9fff27c16ed0ce8eaa702f773,4,ylrG,1458,325,75.7,4.5,1.916,1.671,19,4.5,180.5,11,23,5,290,20,23,5,290,20,15,4,71,2,0.8,0,0.030150754,0,0.833333333,0.083333333,0.25,0,0.75,0.26,0.26,0.188482273,0.264,0.224681952,0.264,0.273759071,0.303892547,0.33,0.23252836,0.361,0.3,0.45,0.45,0.447241009,0.366877419,0.438102018,0.401960784,0.333333333,0.447368421,0.479532395,0.527447419,0.437558927,0.438075727,0.421745097,0.450048796,0.406835653,0.45,0.45,0.458666667,0.597968326,0.443478261,0.325531915,0.429411765,0,0,0,1,0,0,0,0,4
